algorithm,type,count,speed
ddpg,convergence,6,38.59
ddpg,convergence,6,38.64
ddpg,convergence,6,38.83
ddpg,convergence,6,38.73
ddpg,convergence,6,38.73
ddpg,convergence,6,38.63
ddpg,convergence,15,37.90
ddpg,convergence,15,38.27
ddpg,convergence,15,38.25
ddpg,convergence,15,38.30
ddpg,convergence,30,37.99
ddpg,convergence,30,37.98
ddpg,convergence,30,38.02
ddpg,convergence,30,38.04
ddpg,convergence,50,37.95
ddpg,convergence,50,37.98
ddpg,convergence,50,37.88
ddpg,convergence,50,37.92
ddpg,convergence,50,37.86
ddpg,basic,5,38.81
ddpg,basic,5,38.92
ddpg,basic,5,38.90
ddpg,basic,5,38.86
ddpg,basic,15,38.15
ddpg,basic,15,38.09
ddpg,basic,15,38.16
ddpg,basic,15,38.07
ddpg,basic,15,38.19
ddpg,basic,30,37.87
ddpg,basic,30,37.93
ddpg,basic,30,37.91
ddpg,basic,30,37.83
ddpg,basic,30,37.78
ddpg,basic,50,37.64
ddpg,basic,50,37.85
ddpg,basic,50,37.83
dqn,convergence,6,38.67
dqn,convergence,6,38.70
dqn,convergence,15,38.24
dqn,convergence,15,38.14
dqn,convergence,15,38.24
dqn,convergence,30,37.87
dqn,convergence,30,37.90
dqn,convergence,30,37.93
dqn,convergence,50,37.74
dqn,convergence,50,37.63
dqn,convergence,50,37.76
dqn,basic,5,38.97
dqn,basic,5,38.97
dqn,basic,5,38.97
dqn,basic,15,37.79
dqn,basic,15,37.70
dqn,basic,15,37.74
dqn,basic,30,37.58
dqn,basic,30,37.58
dqn,basic,50,37.52
dqn,basic,50,37.49
